datetime,station_amr,station_paris,station_london
2019-05-07 02:00:00,NaN,NaN,23
2019-05-07 03:00:00,50.5,25,19
2019-05-07 04:00:00,45,27.7,19
2019-05-07 05:00:00,NaN,50.4,16
2019-05-07 06:00:00,NaN,61.9,
